poiId,poiName
497416,EXCO서관
2581088,떼제베CC
1194870,윈체스트GC
2902032,코스트코홀세일울산점
160938,그린힐CC
5675168,아쿠아플라넷일산
378515,현대백화점울산점
1101425,롯데백화점전주점
504541,이마트이천점
395551,크리스탈밸리CC
521685,홈플러스작전점
567337,썬밸리CC
174259,서울만남의광장휴게소부산방향[경부선]
2654137,에코랜드테마파크
188592,롯데마트제타플렉스점
2972787,현대시티아울렛가산점
1916563,인제대학교해운대백병원
1929595,포레스트힐CC
2781420,베어즈베스트청라GC
310856,양지파인CC
139888,롯데백화점광주점
1559148,국립과천과학관
521678,홈플러스김포점
219607,밀리오레동대문점
246949,한림광릉CC
362105,경복궁
6077733,홈플러스파주운정점
2792891,동대문디자인플라자
1194626,화성상록GC
310841,발리오스CC
1117765,이마트양산점
3860653,샤인데일골프앤리조트
152057,사직야구장
7138517,신세계백화점김해점
384354,NC백화점서면점
361764,캐슬렉스서울GC
1526710,골프존카운티안성W
2338918,골프존카운티화랑
5685996,로얄링스CC
222737,이마트부천점
247357,양주CC
1181520,센테리움CC
2906051,리앤리CC
2763104,퍼스트빌리지
368500,정동진역
2985260,솔트베이GC
1208775,제부도해수욕장
1146469,평화누리
192422,렛츠런파크서울
533354,아산스파비스
520652,이마트천안점
379254,남촌농산물도매시장
525010,이마트수원점
2269604,젠스필드CC
310814,강남300CC
278669,은화삼CC
1146044,벽초지수목원
310868,아난티중앙골프클럽
505494,영덕해맞이공원
2916600,동촌GC
569679,삼산농산물도매시장
399582,롯데마트맥스금천점
310875,프리스틴밸리GC
1579825,AK플라자평택
551414,이마트계양점
310816,이스트밸리CC
557147,이마트평촌점
390732,이마트해운대점
551415,이마트중동점
146890,이월드
8861558,롯데몰수지점
2269598,벨라스톤CC
527222,메가마트동래점
739619,이마트군산점
532103,곤지암리조트스키장
5725004,타이거CC
158971,뉴코아아울렛동수원점
310846,서원밸리CC
4086393,고양종합터미널
449065,온양온천역
1166714,홈플러스병점점
384812,수원농수산물도매시장
228258,제일CC
365885,한화생명이글스파크
557254,비자림
219686,방산종합시장
2573541,군산CC
505803,한탄강CC
375755,백양사
1606500,마에스트로CC
5384862,드림파크CC
1605179,사우스스프링스CC
2782326,롯데백화점김포공항점
6541482,모다아울렛인천점
76084,하나개해수욕장
389352,안면도자연휴양림
1540987,파인스톤CC
189636,여의도백화점
371424,2001아울렛중계점
1589639,킹즈락CC
739602,롯데백화점상인점
1583841,북서울꿈의숲
188492,롯데마트송파점
354443,한원CC
982060,광한루원
558562,홈플러스안산고잔점
2998153,뮤지엄산
365651,대전복합터미널동관
2615214,망원시장
151893,현대백화점부산점
2744087,고양CC
8769649,베뉴지CC
187765,봉은사
247799,비전힐스CC
524582,국립극장
330548,단양구경시장
152245,대왕암공원
267098,마곡사
374937,롯데백화점안산점
1456335,NC백화점불광점
6034836,이마트킨텍스점휴업중(2023년07월21일오픈예정)
271123,여수공항
152308,십리포해변
2786478,가든파이브웍스
250207,망상해수욕장
1005752,이마트문현점
1622121,을지대학교병원
310872,라데나GC
247911,티클라우드CC
381189,이마트동인천점
1505593,롯데백화점센텀시티점
3859961,청라호수공원
1194791,이마트검단점
1130084,롯데마트진해점
2766850,라비에벨CC올드코스
6144946,현대백화점디큐브시티점
7906908,현대시티몰가든파이브점
1040293,세이브존부천상동점
567112,인천그랜드CC
390687,대구스타디움
10047610,더크로스비GC
504531,이마트화정점
3858223,처인체력단련장
504544,이마트청주점
1605080,쉐라톤그랜드인천호텔
1933285,오션어드벤처
382190,대변항
504539,이마트일산점
2929131,국립현대미술관서울관
246322,김포SEASIDECC
389357,장태산자연휴양림
310855,안성CC
7683100,벨라시타
265720,세종에머슨CC
318073,국립경주박물관
1778229,스플라스워터파크
1120153,이마트파주점
1528706,백제CC
339621,직지사
1698095,골든베이골프앤리조트
2929791,롯데아울렛청주점
245437,논산역
2995132,감천문화마을
310935,천안상록CC
571363,격포항
1101048,홈플러스시화점
310887,화산CC
2773947,노스팜CC
1088100,이마트울산점
723214,영등포역
136266,홈플러스계산점
1186480,합천영상테마파크
2371421,홈플러스화성동탄점
522790,이마트충주점
354435,남수원CC
1818340,이마트제천점
397494,신세계백화점마산점
1788110,뉴코아아울렛부천점
1931000,NC백화점송파점
1577127,스프링힐스CC
374496,부천종합운동장
2269595,마론뉴데이CC
2965055,LF스퀘어양주점
266222,서천특화시장
1876039,롯데마트김포한강점
551488,2001아울렛분당점
242897,가야CC
5405629,김해롯데워터파크본관
